[WARNING] [23712] 2018-01-24 20:46:13,438 - Resuming crawl (34 requests scheduled)
[INFO] [23712] 2018-01-24 20:46:13,441 - ---------------> TestSpider: start <---------------
[INFO] [23712] 2018-01-24 20:46:13,441 - ---------------> start_urls=['http://blog.jobbole.com/all-posts/'] <---------------
[DEBUG] [23712] 2018-01-24 20:46:13,469 - Using selector: SelectSelector
[DEBUG] [23712] 2018-01-24 20:46:15,143 - ISO-8859-5 confidence = 0.00021924309288204913, below negative shortcut threshhold 0.05
[DEBUG] [23712] 2018-01-24 20:46:15,167 - MacCyrillic confidence = 0.02093477139473919, below negative shortcut threshhold 0.05
[DEBUG] [23712] 2018-01-24 20:46:15,217 - IBM855 confidence = 0.04053166405393023, below negative shortcut threshhold 0.05
[DEBUG] [23712] 2018-01-24 20:46:15,276 - ISO-8859-5 confidence = 0.0, below negative shortcut threshhold 0.05
[DEBUG] [23712] 2018-01-24 20:46:15,458 - windows-1255 confidence = 0.0, below negative shortcut threshhold 0.05
[DEBUG] [23712] 2018-01-24 20:46:15,478 - windows-1255 confidence = 0.0, below negative shortcut threshhold 0.05
[DEBUG] [23712] 2018-01-24 20:46:15,573 - utf-8  confidence = 0.99
[DEBUG] [23712] 2018-01-24 20:46:15,573 - SHIFT_JIS Japanese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,573 - EUC-JP Japanese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,573 - GB2312 Chinese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,573 - EUC-KR Korean confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,574 - CP949 Korean confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,574 - Big5 Chinese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,574 - EUC-TW Taiwan confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,574 - windows-1251 Russian confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,574 - KOI8-R Russian confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,574 - ISO-8859-5 not active
[DEBUG] [23712] 2018-01-24 20:46:15,574 - MacCyrillic not active
[DEBUG] [23712] 2018-01-24 20:46:15,575 - IBM866 Russian confidence = 0.07933614471472808
[DEBUG] [23712] 2018-01-24 20:46:15,575 - IBM855 not active
[DEBUG] [23712] 2018-01-24 20:46:15,575 - ISO-8859-7 Greek confidence = 0.0
[DEBUG] [23712] 2018-01-24 20:46:15,575 - windows-1253 Greek confidence = 0.0
[DEBUG] [23712] 2018-01-24 20:46:15,575 - ISO-8859-5 not active
[DEBUG] [23712] 2018-01-24 20:46:15,575 - windows-1251 Bulgarian confidence = 0.0
[DEBUG] [23712] 2018-01-24 20:46:15,575 - TIS-620 Thai confidence = 0.07225787089407776
[DEBUG] [23712] 2018-01-24 20:46:15,575 - ISO-8859-9 Turkish confidence = 0.4077805018925762
[DEBUG] [23712] 2018-01-24 20:46:15,576 - windows-1255 Hebrew confidence = 0.0
[DEBUG] [23712] 2018-01-24 20:46:15,576 - windows-1255 not active
[DEBUG] [23712] 2018-01-24 20:46:15,576 - windows-1255 not active
[DEBUG] [23712] 2018-01-24 20:46:15,576 - utf-8  confidence = 0.99
[DEBUG] [23712] 2018-01-24 20:46:15,576 - SHIFT_JIS Japanese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,577 - EUC-JP Japanese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,577 - GB2312 Chinese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,577 - EUC-KR Korean confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,577 - CP949 Korean confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,577 - Big5 Chinese confidence = 0.01
[DEBUG] [23712] 2018-01-24 20:46:15,577 - EUC-TW Taiwan confidence = 0.01
[INFO] [23712] 2018-01-24 20:46:15,582 - next page url:http://blog.jobbole.com/all-posts/page/6/
[DEBUG] [23712] 2018-01-24 20:46:15,640 - Filtered duplicate request: <GET http://blog.jobbole.com/113109/>
[DEBUG] [23712] 2018-01-24 20:46:15,668 - Filtered duplicate request: <GET http://blog.jobbole.com/113082/>
